"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 09 16:39:01 CST 2022","Wed Mar 09 16:39:01 CST 2022","125","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—（不带商品）销售状态为1","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:39:05 CST 2022","Wed Mar 09 16:39:05 CST 2022","125","testcases.test_business_token_order_items05","test_business_token_order_items01","TestOrderItems","","","订单信息查询—token为空","订单信息查询接口测试用例"
"passed","Wed Mar 09 16:39:02 CST 2022","Wed Mar 09 16:39:02 CST 2022","126","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—（带商品）销售状态为1","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:38:50 CST 2022","Wed Mar 09 16:38:50 CST 2022","129","testcases.test_business_register03","test_business_register03","TestRegister","","","用户名以非字母开头的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:39:02 CST 2022","Wed Mar 09 16:39:02 CST 2022","127","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—（带商品）促销状态为1","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:38:54 CST 2022","Wed Mar 09 16:38:55 CST 2022","127","testcases.test_business_token_goods_delete08","test_business_token_goods_delete01","TestGoodsDelete","","","测试商品编号格式错误","商品删除模块几口测试用例"
"passed","Wed Mar 09 16:39:01 CST 2022","Wed Mar 09 16:39:01 CST 2022","127","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—（不带商品）促销状态为0","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:38:52 CST 2022","Wed Mar 09 16:38:52 CST 2022","141","testcases.test_business_register03","test_business_register03","TestRegister","","","手机号为非数字的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:39:01 CST 2022","Wed Mar 09 16:39:01 CST 2022","124","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—（不带商品）销售状态为0","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:39:02 CST 2022","Wed Mar 09 16:39:02 CST 2022","127","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—（带商品）促销状态为0","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:39:00 CST 2022","Wed Mar 09 16:39:00 CST 2022","129","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询主流程","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:39:03 CST 2022","Wed Mar 09 16:39:03 CST 2022","130","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—销售状态为非枚举","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:39:02 CST 2022","Wed Mar 09 16:39:03 CST 2022","147","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—（带商品）销售状态为1、促销状态为0","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:38:49 CST 2022","Wed Mar 09 16:38:49 CST 2022","143","testcases.test_business_register03","test_business_register03","TestRegister","","","用户名为8位有效边界值的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:56 CST 2022","Wed Mar 09 16:38:56 CST 2022","130","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品名无效边界的场景","商品信息录入接口测试用例"
"passed","Wed Mar 09 16:38:59 CST 2022","Wed Mar 09 16:38:59 CST 2022","127","testcases.test_business_token_goods_promote07","test_business_token_goods_promote01","TestGoodsPromote","","","测试销结束时间非日期类型","商品促销设置接口测试用例"
"passed","Wed Mar 09 16:38:54 CST 2022","Wed Mar 09 16:38:54 CST 2022","127","testcases.test_business_register03","test_business_register03","TestRegister","","","邮箱为空的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:52 CST 2022","Wed Mar 09 16:38:52 CST 2022","120","testcases.test_business_register03","test_business_register03","TestRegister","","","手机号已注册的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:55 CST 2022","Wed Mar 09 16:38:56 CST 2022","144","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品名有效边界的场景","商品信息录入接口测试用例"
"passed","Wed Mar 09 16:39:02 CST 2022","Wed Mar 09 16:39:02 CST 2022","130","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—（带商品）销售状态为0","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:39:04 CST 2022","Wed Mar 09 16:39:04 CST 2022","119","testcases.test_business_token_login02","test_login05","TestLogin","","","测试用户名为空的场景","商品登录模块接口测试用例"
"passed","Wed Mar 09 16:39:03 CST 2022","Wed Mar 09 16:39:04 CST 2022","125","testcases.test_business_token_login02","test_login05","TestLogin","","","正常流程","商品登录模块接口测试用例"
